ID_Node,Origen,ID,Anho,Mes,Total,Total_Origen_Incoming,Total_Origin_Cumulative
52,Montserrat,200405,2004,5,0.0,0.0,0.0
53,Muxia,200405,2004,5,0.0,0.0,0.0
54,Nájera,200405,2004,5,0.0,3369.0,3369.0
55,O Barco de Valdeorras,200405,2004,5,0.0,0.0,0.0
56,Ponferrada. C.Inv.,200405,2004,5,0.0,0.0,0.0
57,Ponte de Lima,200405,2004,5,0.0,0.0,0.0
58,Republica Checa,200405,2004,5,0.0,0.0,0.0
59,Resto,200405,2004,5,4727.0,0.0,4727.0
60,Resto Asturias - C.N,200405,2004,5,0.0,0.0,0.0
61,Resto C. León C.F.,200405,2004,5,0.0,0.0,0.0
62,Resto de Galicia,200405,2004,5,0.0,0.0,0.0
63,Resto de Portugal,200405,2004,5,0.0,0.0,0.0
64,Resto Galicia,200405,2004,5,0.0,0.0,0.0
65,Resto Portugal,200405,2004,5,0.0,0.0,0.0
66,Sahagún,200405,2004,5,0.0,3784.0,3784.0
67,Samos,200405,2004,5,0.0,0.0,0.0
68,San Sebastián,200405,2004,5,0.0,0.0,0.0
69,Santander,200405,2004,5,0.0,0.0,0.0
70,Somport,200405,2004,5,0.0,0.0,0.0
71,Vega de Valcarce,200405,2004,5,0.0,6186.0,6186.0
72,Verín,200405,2004,5,0.0,0.0,0.0
73,Vezelay,200405,2004,5,0.0,0.0,0.0
74,Viana do Castelo,200405,2004,5,0.0,0.0,0.0
75,Villafranca del Bierzo,200405,2004,5,0.0,6186.0,6186.0
0,Catedral Santiago de Compostela,200406,2004,6,0.0,19295.0,19295.0
1,Sarria,200406,2004,6,3314.0,9554.0,12868.0
2,Tui,200406,2004,6,669.0,0.0,669.0
3,S. Jean P. Port,200406,2004,6,1689.0,0.0,1689.0
4,Ferrol,200406,2004,6,0.0,0.0,0.0
5,Oporto,200406,2004,6,0.0,0.0,0.0
6,Cebreiro,200406,2004,6,2466.0,7088.0,9554.0
7,Ribadeo,200406,2004,6,0.0,0.0,0.0
8,Valença do Minho,200406,2004,6,0.0,0.0,0.0
9,Roncesvalles,200406,2004,6,1948.0,1689.0,3637.0
10,Oviedo - C.P.,200406,2004,6,0.0,0.0,0.0
11,Vigo,200406,2004,6,0.0,0.0,0.0
12,Ponte de sa,200406,2004,6,0.0,0.0,0.0
13,Oporto Costa,200406,2004,6,0.0,0.0,0.0
14,Ourense,200406,2004,6,0.0,0.0,0.0
15,Lisboa,200406,2004,6,0.0,0.0,0.0
16,León,200406,2004,6,911.0,4120.0,5031.0
17,A Guarda,200406,2004,6,0.0,0.0,0.0
18,Corrubedo,200406,2004,6,0.0,0.0,0.0
19,Ponferrada,200406,2004,6,902.0,5762.0,6664.0
20,Le Puy,200406,2004,6,0.0,0.0,0.0
21,Lugo - C.P.,200406,2004,6,0.0,0.0,0.0
22,Baiona,200406,2004,6,0.0,0.0,0.0
23,Vilalba,200406,2004,6,0.0,0.0,0.0
24,Irún,200406,2004,6,0.0,0.0,0.0
25,Astorga,200406,2004,6,731.0,5031.0,5762.0
26,Porriño,200406,2004,6,0.0,669.0,669.0
27,Triacastela,200406,2004,6,0.0,9554.0,9554.0
28,Sevilla,200406,2004,6,0.0,0.0,0.0
29,Pamplona,200406,2004,6,483.0,3637.0,4120.0
30,Burgos,200406,2004,6,0.0,4120.0,4120.0
31,A Coruña,200406,2004,6,0.0,0.0,0.0
32,Alemania,200406,2004,6,0.0,0.0,0.0
33,Barcelona,200406,2004,6,0.0,0.0,0.0
34,Bélgica,200406,2004,6,0.0,0.0,0.0
35,Braga,200406,2004,6,0.0,0.0,0.0
36,Com. Valenciana - C.F.,200406,2004,6,0.0,0.0,0.0
37,Com. Valenciana - O.C.,200406,2004,6,0.0,0.0,0.0
38,Estella,200406,2004,6,0.0,4120.0,4120.0
39,Finisterra,200406,2004,6,0.0,0.0,0.0
40,Fonsagrada - C.P.,200406,2004,6,0.0,0.0,0.0
41,Francia - C.F.,200406,2004,6,0.0,0.0,0.0
42,Gijón,200406,2004,6,0.0,0.0,0.0
43,Gudiña,200406,2004,6,0.0,0.0,0.0
44,Laza,200406,2004,6,0.0,0.0,0.0
45,Logroño,200406,2004,6,0.0,4120.0,4120.0
46,Lourdes,200406,2004,6,0.0,0.0,0.0
47,Madrid - C.F.,200406,2004,6,0.0,0.0,0.0
48,Madrid - V.P.,200406,2004,6,0.0,0.0,0.0
49,Mérida,200406,2004,6,0.0,0.0,0.0
50,Mondoñedo,200406,2004,6,0.0,0.0,0.0
51,Monforte de Lemos,200406,2004,6,0.0,0.0,0.0
52,Montserrat,200406,2004,6,0.0,0.0,0.0
53,Muxia,200406,2004,6,0.0,0.0,0.0
54,Nájera,200406,2004,6,0.0,4120.0,4120.0
55,O Barco de Valdeorras,200406,2004,6,0.0,0.0,0.0
56,Ponferrada. C.Inv.,200406,2004,6,0.0,0.0,0.0
57,Ponte de Lima,200406,2004,6,0.0,0.0,0.0
58,Republica Checa,200406,2004,6,0.0,0.0,0.0
59,Resto,200406,2004,6,5758.0,0.0,5758.0
60,Resto Asturias - C.N,200406,2004,6,0.0,0.0,0.0
61,Resto C. León C.F.,200406,2004,6,0.0,0.0,0.0
62,Resto de Galicia,200406,2004,6,0.0,0.0,0.0
63,Resto de Portugal,200406,2004,6,0.0,0.0,0.0
64,Resto Galicia,200406,2004,6,0.0,0.0,0.0
65,Resto Portugal,200406,2004,6,0.0,0.0,0.0
66,Sahagún,200406,2004,6,0.0,4120.0,4120.0
67,Samos,200406,2004,6,0.0,0.0,0.0
68,San Sebastián,200406,2004,6,0.0,0.0,0.0
69,Santander,200406,2004,6,0.0,0.0,0.0
70,Somport,200406,2004,6,0.0,0.0,0.0
71,Vega de Valcarce,200406,2004,6,0.0,7088.0,7088.0
72,Verín,200406,2004,6,0.0,0.0,0.0
73,Vezelay,200406,2004,6,0.0,0.0,0.0
74,Viana do Castelo,200406,2004,6,0.0,0.0,0.0
75,Villafranca del Bierzo,200406,2004,6,424.0,6664.0,7088.0
0,Catedral Santiago de Compostela,200407,2004,7,0.0,31891.0,31891.0
1,Sarria,200407,2004,7,6271.0,14858.0,21129.0
2,Tui,200407,2004,7,2090.0,0.0,2090.0
3,S. Jean P. Port,200407,2004,7,1265.0,0.0,1265.0
4,Ferrol,200407,2004,7,0.0,0.0,0.0
5,Oporto,200407,2004,7,0.0,0.0,0.0
6,Cebreiro,200407,2004,7,3685.0,10639.0,14324.0
7,Ribadeo,200407,2004,7,0.0,0.0,0.0
8,Valença do Minho,200407,2004,7,0.0,0.0,0.0
9,Roncesvalles,200407,2004,7,2027.0,1265.0,3292.0
